name,url,category,language,region,state
Tamil Australian,http://www.tamilaustralian.com.au/news/,Regional,Tamil,Southern India,Tamil Nadu
BOW,http://www.bulletinofworld.com,Regional,Tamil,Southern India,Tamil Nadu
Edit links,https://www.wikidata.org/wiki/Special:EntityPage/Q1433703#sitelinks-wikipedia,Various,Various,Nationwide,N/A
Wikidata item,https://www.wikidata.org/wiki/Special:EntityPage/Q1433703,Various,Various,Nationwide,N/A
Wikimedia Commons,https://commons.wikimedia.org/wiki/Category:Newspapers_of_India,Various,Various,Nationwide,N/A
"""Twenty decades of Mumbai Samachar""",https://www.printweek.in/News/twenty-decades-of-mumbai-samachar-41881,Various,Various,Nationwide,N/A
Press in India,https://books.google.com/books?id=ne85AAAAMAAJ,Various,Various,Nationwide,N/A
Indian All Newspapers and Media List,https://allmedialink.com/india/,Various,Various,Nationwide,N/A
The Indian Media Business,https://books.google.com/books?id=1C4nAgAAQBAJ,Various,Various,Nationwide,N/A
The Press in India 2017-18,http://rni.nic.in/all_page/pin201718.htm,Various,Various,Nationwide,N/A
Privacy policy,https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Privacy_policy,Various,Various,Nationwide,N/A
Code of Conduct,https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Universal_Code_of_Conduct,Various,Various,Nationwide,N/A
Developers,https://developer.wikimedia.org,Various,Various,Nationwide,N/A
Cookie statement,https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Cookie_statement,Various,Various,Nationwide,N/A
,https://wikimediafoundation.org/,Various,Various,Nationwide,N/A
,https://www.mediawiki.org,Various,Various,Nationwide,N/A
Facebook,https://www.facebook.com/4-International-Media-Newspapers-322678317875671/,Various,Various,Nationwide,N/A
4 International Media & Newspapers,http://www.4imn.com/,Various,Various,Nationwide,N/A
,http://twitter.com/4imncom,Various,Various,Nationwide,N/A
,https://www.4imn.com/about/search.htm,Various,Various,Nationwide,N/A
Asia,http://www.4imn.com/Asia/,Various,Various,Nationwide,N/A
,http://www.4imn.com/in/,Various,Various,Nationwide,N/A
Link to us,https://www.4imn.com/about/linktous.htm,Various,Various,Nationwide,N/A
,https://www.4imn.com/about/add.htm,Various,Various,Nationwide,N/A
Twitter,https://twitter.com/4imncom,Various,Various,Nationwide,N/A
About us,https://www.4imn.com/about/,Various,Various,Nationwide,N/A
,https://www.w3newspapers.com/,Various,Various,Nationwide,N/A
Assamese (অসমীয়া),https://www.w3newspapers.com/india/assamese/,Various,Various,Nationwide,N/A
Gujarat samachar,https://www.w3newspapers.com/india/gujarati/,Various,Various,Nationwide,N/A
Hindi news paper,https://www.w3newspapers.com/india/hindi/,Various,Various,Nationwide,N/A
हिन्दी,https://www.w3newspapers.com/india/हिन्दी-समाचारपत्रों-की-सूची/,Various,Various,Nationwide,N/A
Kannada news paper,https://www.w3newspapers.com/india/kannada/,Various,Various,Nationwide,N/A
Malayalam news paper,https://www.w3newspapers.com/india/malayalam/,Various,Various,Nationwide,N/A
Marathi (मराठी),https://www.w3newspapers.com/india/marathi/,Various,Various,Nationwide,N/A
Oriya (ଓଡ଼ିଆ),https://www.w3newspapers.com/india/oriya/,Various,Various,Nationwide,N/A
Punjabi (ਪੰਜਾਬੀ),https://www.w3newspapers.com/india/punjabi/,Various,Various,Nationwide,N/A
Tamil news,https://www.w3newspapers.com/india/tamil/,Various,Various,Nationwide,N/A
Telugu news papers,https://www.w3newspapers.com/india/telugu/,Various,Various,Nationwide,N/A
Urdu (اردو),https://www.w3newspapers.com/india/urdu/,Various,Various,Nationwide,N/A
Times of India (TOI),https://timesofindia.indiatimes.com/,Various,Various,Nationwide,N/A
Hindu,https://www.thehindu.com/,Various,Various,Nationwide,N/A
Hindustan Times (HT),https://www.hindustantimes.com/,Various,Various,Nationwide,N/A
Indian Express,https://indianexpress.com/,Various,Various,Nationwide,N/A
Pioneer,https://www.dailypioneer.com/,Various,Various,Nationwide,N/A
Deccan Herald,https://www.deccanherald.com/,Various,Various,Nationwide,N/A
Telegraph,https://www.telegraphindia.com/,Various,Various,Nationwide,N/A
Daily News and Analysis (DNA),https://www.dnaindia.com/,Various,Various,Nationwide,N/A
Deccan Chronicle,https://www.deccanchronicle.com/,Various,Various,Nationwide,N/A
Asian Age,https://www.asianage.com/,Various,Various,Nationwide,N/A
UK,https://www.w3newspapers.com/uk/,Various,Various,Nationwide,N/A
Economic Times,https://economictimes.indiatimes.com/,Various,Various,Nationwide,N/A
Business Standard,https://www.business-standard.com/,Various,Various,Nationwide,N/A
